State,2020
Baden-Wurttemberg,11103043
Bavaria,13140183
Berlin,3664088
Brandenburg,2531071
Bremen,680130
Hamburg,1852478
Hesse,6293154
Lower Saxony,8003421
Mecklenburg-Western Pomerania,1610774
North Rhine-Westphalia,17925570
Rhineland-Palatinate,4098391
Saarland,983991
Saxony,4056941
Saxony-Anhalt,2180684
Schleswig-Holstein,2910875
Thuringia,2120237
